Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Experience_Level
56,0.7119977677889047,-0.09984546537037356,180,157,60,1.2842287630529767,1313.0,12.6,3.5,4,30.2,True,False,False,True,3
46,0.06287502226686108,-1.5426618684204774,179,151,66,0.12168602893309584,883.0,33.9,2.1,4,32.0,False,True,False,False,2
32,-0.26653055008760956,-0.5006277995509585,167,122,54,-0.4446809440996667,677.0,33.4,2.3,4,24.71,False,False,False,False,2
25,-0.9883162895113744,-0.18000193220649052,190,164,56,-1.9947379229261755,532.0,28.8,2.1,3,18.41,True,False,True,False,1
38,-1.3322544606461888,0.5414062693185623,188,158,68,-1.8456939826543957,556.0,29.2,2.8,3,14.39,True,False,True,False,1
56,-0.7557947090258663,-0.3403148658787245,168,156,74,0.9861408825094179,1116.0,15.5,2.7,5,20.55,False,True,False,False,3
36,-0.15995815903175145,-0.01968899853425658,174,169,73,0.6880530019658584,1385.0,21.3,2.3,3,23.76,True,False,False,False,2
40,-0.1890233565924397,-1.7029748020927113,189,141,64,0.032259664770027965,895.0,30.6,1.9,3,30.57,False,False,False,False,2
28,2.3299604320005667,1.743753271860315,185,127,52,-0.6831512485345144,719.0,28.9,2.6,4,32.34,True,False,True,False,2
28,1.3659647129043968,0.9421886034991471,169,136,64,0.032259664770027965,808.0,29.7,2.7,3,30.07,True,False,False,False,1
41,-0.16964655821864777,-0.42047133271484144,188,146,54,-1.309135797675989,593.0,20.5,3.0,2,43.31,True,True,False,False,1
53,-1.0609792834130958,-0.18000193220649052,175,152,72,-0.3254457918822435,865.0,23.6,3.5,3,17.89,True,True,False,False,2
57,1.8842940694033423,-0.9014101337315416,195,165,61,-0.0571666993930399,1013.0,22.1,2.7,3,43.4,True,False,False,False,2
41,1.0123381425826863,2.224692072877017,179,136,69,-0.23601942771917564,794.0,27.6,3.7,3,23.62,True,True,False,False,1
20,2.1361924482626433,0.7017192029907962,196,161,54,0.27072996920487563,1195.0,26.4,3.3,3,35.93,True,False,False,True,2
39,-1.5066456460103201,0.22078040197409435,181,131,52,-0.3850633679909554,740.0,26.2,2.1,2,13.88,False,False,True,False,1
19,-0.46514273341898094,-1.5426618684204774,166,167,58,0.2111123930961637,1111.0,29.8,2.3,3,27.34,False,True,False,False,2
41,-1.4436710512954951,0.3810933356463283,182,165,58,-0.20621063966481967,884.0,31.9,1.6,3,13.98,False,False,False,False,1
47,-0.3295051448024346,0.22078040197409435,199,146,56,-0.3850633679909554,742.0,32.8,2.5,3,21.81,False,False,True,False,2
55,0.07740762104720521,-0.42047133271484144,188,167,51,0.3303475453135875,1030.0,25.2,2.2,2,26.96,False,True,False,False,1
19,0.7459071649430414,0.3810933356463283,175,127,72,0.7178617900202143,1048.0,28.9,3.7,4,28.41,True,False,True,False,2
38,-0.08245096553658161,0.3810933356463283,197,142,72,-0.4148721560453107,875.0,25.7,3.1,2,22.95,True,False,False,False,1
50,-0.12604876187761468,-0.3403148658787245,187,161,70,-0.2658282157735316,848.0,33.1,2.5,2,25.16,False,False,False,True,1
29,2.291206835252982,0.4612498024824453,197,168,65,-1.4283709498934125,721.0,28.1,3.4,2,38.16,True,False,False,True,1
39,-0.4506101346386368,-0.2601583990426075,190,148,58,-0.027357911338683948,925.0,26.9,1.9,4,22.51,False,True,False,False,2
42,-0.47967533219932507,-0.09984546537037356,173,169,62,0.47939148558536665,1080.0,26.1,1.8,3,21.78,False,False,False,True,2
44,-0.40701233829760375,0.6215627361546793,192,139,68,-1.5774148901651923,502.0,27.2,2.7,2,20.12,True,True,False,False,1
59,-0.9544068923572381,0.22078040197409435,168,135,69,0.6582442139115023,989.0,21.6,2.8,4,17.6,True,False,True,False,2
45,0.54729498161167,1.102501537171381,186,136,66,1.135184822781197,1104.0,14.2,3.5,5,24.54,True,True,False,False,3
33,0.21304520966375157,-0.3403148658787245,183,135,55,0.09187724087873987,871.0,32.3,1.8,3,27.64,False,True,False,False,2
32,1.6759934868850748,0.6215627361546793,172,138,53,0.032259664770027965,964.0,28.4,3.5,3,33.4,True,True,False,False,1
20,-0.3973239391107074,-1.6228183352565944,185,127,50,-0.6831512485345144,654.0,28.0,2.2,4,28.31,False,False,False,True,2
54,-1.1336422773148171,-0.9014101337315416,188,157,67,0.6582442139115023,1046.0,28.2,2.7,2,19.37,False,True,False,False,1
24,-0.7121969126848335,-1.7029748020927113,187,157,68,-0.6533424604801583,816.0,31.7,2.5,2,25.83,False,False,False,False,1
38,0.3777479958409869,-0.09984546537037356,187,148,58,0.7774793661289262,1237.0,10.2,3.5,5,27.84,True,True,False,False,3
26,2.6157682080140034,0.060467468301860394,167,160,62,0.18130360504180776,1162.0,27.3,2.9,3,42.63,True,False,True,False,1
56,-0.6928201143110413,-1.3021924679121264,182,155,57,0.0024508767156720085,879.0,33.4,2.6,4,24.37,False,False,False,False,2
35,1.1285989328254407,-0.09984546537037356,188,145,72,0.24092118115051966,1069.0,24.2,2.9,3,33.14,True,False,True,False,2
21,-0.5329615277272541,0.7017192029907962,164,150,62,0.12168602893309584,1072.0,27.6,3.5,4,19.11,True,False,True,False,2
42,-1.3613196582068774,-0.09984546537037356,166,163,64,0.1514948169874518,1057.0,21.7,2.6,3,17.77,True,False,True,False,2
